n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown,direction,source_symbol,target_symbol,model,policy,stress_axis,level,fee_bps,latency_events,spread_multiplier,depth_multiplier
1041924,52926.25277765872,52926.25277765872,0.0,307069.6000802729,0.0507966538611825,1.0,-51.26464551007666,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,fee_bps,0.0,0.0,,,
500819,25679.516481696,-74466.37902548636,100145.8955071824,147730.20384023452,-0.1486892051329649,-2.899835714530098,-74466.13265977192,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,fee_bps,1.0,1.0,,,
22847,1121.3663255403185,-8015.758258840062,9137.12458438038,6566.5231091783735,-0.3508451113424109,-7.148206679898073,-8015.615023140886,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,fee_bps,2.0,2.0,,,
0,0.0,0.0,0.0,0.0,0.0,,0.0,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,fee_bps,5.0,5.0,,,
0,0.0,0.0,0.0,0.0,0.0,,0.0,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,fee_bps,10.0,10.0,,,
500799,34664.963394358485,-65474.15367878135,100139.11707313985,147720.71742876698,-0.1307393858190239,-1.8887703106427305,-65474.05931648751,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,latency_events,0.0,,0.0,,
500819,25679.516481696,-74466.37902548636,100145.8955071824,147730.20384023452,-0.1486892051329649,-2.899835714530098,-74466.13265977192,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,latency_events,1.0,,1.0,,
500826,12213.57945516194,-87935.43880304435,100149.01825820628,147734.7318345597,-0.1755808180945964,-7.199808960662991,-87934.96150693436,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,latency_events,5.0,,5.0,,
500830,5726.324289758002,-94423.58586628117,100149.91015603911,147736.21616154214,-0.1885342049523414,-16.48938849571713,-94423.00158286872,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,latency_events,10.0,,10.0,,
500819,25679.516481696,-74466.37902548636,100145.8955071824,147730.20384023452,-0.1486892051329649,-2.899835714530098,-74466.13265977192,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,spread_multiplier,1.0,,,1.0,
500819,23487.92364749694,-76657.9693107955,100145.89295829248,147730.20384023452,-0.153065217794843,-3.2637184308526472,-76657.71208111788,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,spread_multiplier,1.5,,,1.5,
500819,21296.330813297693,-78849.5595961048,100145.89040940252,147730.20384023452,-0.1574412304567214,-3.702495058297561,-78849.29150246593,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,spread_multiplier,2.0,,,2.0,
500819,25679.516481696,-74466.37902548636,100145.8955071824,147730.20384023452,-0.1486892051329649,-2.899835714530098,-74466.13265977192,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,depth_multiplier,1.0,,,,1.0
500799,25196.98367131452,-74943.86236778062,100140.84603909514,147722.8301369825,-0.1496485862946623,-2.9743188051949407,-74943.59007272286,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,depth_multiplier,0.75,,,,0.75
500771,24298.930273804828,-75820.38318303826,100119.31345684313,147691.5543913958,-0.1514072963151585,-3.1203177394510866,-75820.0772736128,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,depth_multiplier,0.5,,,,0.5
2275160,86958.54951490447,86958.54951490447,0.0,25377.95568065696,0.0382208501885161,1.0,-67.30128426303054,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,fee_bps,0.0,0.0,,,
9129,677.2175736084232,-1144.7525620551248,1821.970135663548,99.5695372958343,-0.1253973668589248,-1.6903763379256855,-1143.7831473479396,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,fee_bps,1.0,1.0,,,
0,0.0,0.0,0.0,0.0,0.0,,0.0,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,fee_bps,2.0,2.0,,,
0,0.0,0.0,0.0,0.0,0.0,,0.0,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,fee_bps,5.0,5.0,,,
0,0.0,0.0,0.0,0.0,0.0,,0.0,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,fee_bps,10.0,10.0,,,
9098,903.9239526734316,-910.9539317341856,1814.8778844076176,99.20069179865187,-0.1001268335605831,-1.0077771797505335,-911.2825489541073,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,latency_events,0.0,,0.0,,
9129,677.2175736084232,-1144.7525620551248,1821.970135663548,99.5695372958343,-0.1253973668589248,-1.6903763379256855,-1143.7831473479396,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,latency_events,1.0,,1.0,,
9132,389.0508874693979,-1434.8398838354208,1823.8907713048188,99.67242079391696,-0.157122194900944,-3.688051949112397,-1433.7704108331034,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,latency_events,5.0,,5.0,,
9135,249.2485804470723,-1576.2973808520526,1825.545961299125,99.75433198652703,-0.1725558161852274,-6.324198027626392,-1575.2279078497404,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,latency_events,10.0,,10.0,,
9129,677.2175736084232,-1144.7525620551248,1821.970135663548,99.5695372958343,-0.1253973668589248,-1.6903763379256855,-1143.7831473479396,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,spread_multiplier,1.0,,,1.0,
9129,659.8657220888584,-1162.1053234224962,1821.9710455113543,99.5695372958343,-0.1272982060929451,-1.7611239446470377,-1161.0927933584674,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,spread_multiplier,1.5,,,1.5,
9129,642.5138705692884,-1179.4580847898726,1821.971955359161,99.5695372958343,-0.129199045326966,-1.8356927979544373,-1178.4024393689997,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,spread_multiplier,2.0,,,2.0,
